videoId,title,date,duree_sec,vues,likes,commentaires
YlvcFJOE-OE,Giving iPhones Instead Of Candy on Halloween,2022-11-02,40,1748890527,41566814,149176
S_CUEOBZ0P4,"The Rock Vs MrBeast For $100,000",2022-10-21,55,719601972,36254044,80365
Fzh65vCyHWQ,24 HOUR EXPLOSION GIVEAWAY! WIN GIFTCARDS,2016-09-05,0,853246,35407,4554
zCR6DJX7Kak,Walking Dead Daryl DIED (Fan Reaction To Death),2016-03-28,43,187261,5172,534
oo8ve4Ldpck,The Evolution Of My Youtube Banners,2015-11-18,59,80961,2540,402
B_7uD3B62MM,Welcome To My Channel!,2014-08-18,28,91382,2084,197
2ljWxaMvE_0,Hacker in Ghost???? I Couldn't Kill Him.,2014-06-22,36,63878,1817,425
3Q3pQmzWyZM,I Got Really Really Really Bored....,2014-05-24,52,65078,1875,376
67Wj-0OyKOM,Youtube ad.,2014-04-20,38,590162,10662,444
5U2fmvh9_Is,"Battle Pirates, Hellstrike vs Epic Base!",2013-12-24,58,82807,2093,380
xvIpibLjs5k,"Battle Pirates, Another Hellstrike Fail.",2013-12-18,57,82609,2127,370
jlpAON0ePME,Battle pirates Hellstrike fail!,2013-12-18,47,82283,2122,359
vBEGODNmdas,Are Minecraft Faction Has A New Pet! (poopymiscquidlepants),2013-10-31,15,118607,3102,335
ObYLL97-SBA,How To Duplicate Diamonds!!!!,2013-09-15,37,195814,6749,609
v1ELS84GQu8,If This Video Gets One Million Views.....,2013-09-07,46,13366035,1170170,71406
ctJORnOjbrQ,These Were The Good Days....,2013-09-05,52,202083,4918,471
bWDmDsdvoBs,Career Ender ....  LOL,2013-07-28,26,166456,4469,540
X-g9aT2wFjM,Channel Trailer....,2013-07-06,49,298245,10405,925
pl4xmh3RWfE,Amazing minecraft Cathedral!,2013-04-21,58,467963,14906,1319
jysfHFHNjYQ,Epic minecraft apartment complex!,2013-01-27,53,606813,23634,2380
gchqnwXlxJw,Drinks in minecraft (mod),2013-01-26,43,619944,0,2045
atCPtw4dg7g,Emerald tool mod! (minecraft),2013-01-23,49,601431,26317,2467
t8aM4HuVLrQ,This is a block? Since when lol.,2013-01-21,52,938414,34598,4465
M82VAcabSiA,Scary minecraft pig skin!,2013-01-13,29,1178773,38746,3431
7qj3nuF9Dzw,Most Epic minecraft skin EVER  (Psy),2013-01-13,31,1350133,46040,3924
